Battery, Cycle_No, Date, Time, Temp, Reading_number, Sense_current_real, Sense_current_i, Battery_current_real, Battery_current_i, Current_ratio_real, Current_ratio_i, Battery_impedance_real, Battery_impedance_i, Rectified_Impedance_real, Rectified_Impedance_i, Re, Rct
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 1, -1.000000, 1.000000, -1.000000, 1.000000, 1.000000, 0.000000, -0.099633, -0.375691, 0.062339, -0.000340, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 2, 805.216614, -25.952555, 353.536407, -90.227196, 2.155918, 0.476810, 0.193204, -0.053019, 0.061938, -0.000083, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 3, 807.488586, -46.551270, 350.990479, -71.658279, 2.234538, 0.323575, 0.030605, 0.043679, 0.059586, -0.000725, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 4, 815.629211, -52.268448, 343.498871, -64.771896, 2.320652, 0.285429, 0.018899, -0.055236, 0.059558, -0.000625, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 5, 814.602905, -54.513222, 343.822388, -55.692688, 2.333706, 0.219465, 0.120098, -0.072477, 0.061717, -0.001017, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 6, 812.064026, -55.961102, 346.986603, -55.832020, 2.306565, 0.209861, 0.197079, -0.009409, 0.059561, 0.000130, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 7, 811.359741, -59.933468, 348.329407, -51.717060, 2.304045, 0.170026, 0.224786, 0.064777, 0.060456, -0.000837, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 8, 813.985840, -61.265430, 347.423737, -49.704639, 2.320649, 0.155665, 0.226133, 0.116009, 0.059412, -0.000768, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 9, 807.933350, -68.605698, 350.033234, -42.835011, 2.297737, 0.085186, 0.221396, 0.139169, 0.059692, -0.001254, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 10, 809.819214, -66.123528, 349.153046, -46.024784, 2.304306, 0.114367, 0.218509, 0.139235, 0.058500, -0.000487, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 11, 807.642395, -57.169449, 351.002136, -38.802837, 2.290969, 0.090389, 0.217338, 0.122844, 0.060873, -0.001051, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 12, 808.830811, -56.245121, 351.927094, -40.044201, 2.286868, 0.100392, 0.214880, 0.096361, 0.059518, -0.000311, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 13, 807.491028, -60.127254, 354.091553, -36.643227, 2.273682, 0.065485, 0.208534, 0.065604, 0.057989, -0.001238, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 14, 809.535095, -59.342140, 351.417450, -37.734451, 2.295296, 0.077599, 0.197478, 0.035457, 0.056847, -0.001189, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 15, 808.403503, -62.878563, 353.354767, -33.696831, 2.283994, 0.039860, 0.182671, 0.009353, 0.057569, -0.000808, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 16, 806.804321, -39.548836, 356.390320, -29.514843, 2.257529, 0.075989, 0.166118, -0.010979, 0.057576, -0.000796, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 17, 805.412170, -39.217461, 356.907837, -28.513424, 2.251050, 0.069956, 0.150013, -0.025320, 0.056033, -0.000899, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 18, 805.744263, -41.754486, 357.383423, -27.504234, 2.250229, 0.056344, 0.136127, -0.034448, 0.056146, -0.001192, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 19, 806.254822, -42.809563, 357.688141, -26.354759, 2.250672, 0.046147, 0.125583, -0.039543, 0.056694, -0.001094, 0.038168, 0.061581
B0007, 41, 2008-04-18, 20:55:29.86, 24.00, 20, 802.304260, -41.454956, 360.493500, -27.585083, 2.221365, 0.054985, 0.118894, -0.041722, 0.054332, -0.001189, 0.038168, 0.061581
