Battery, Cycle_No, Date, Time, Temp, Reading_number, Sense_current_real, Sense_current_i, Battery_current_real, Battery_current_i, Current_ratio_real, Current_ratio_i, Battery_impedance_real, Battery_impedance_i, Rectified_Impedance_real, Rectified_Impedance_i, Re, Rct
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 1, -1.000000, 1.000000, -1.000000, 1.000000, 1.000000, 0.000000, -0.438926, -0.107298, 0.070069, -0.000480, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 2, 820.609497, -36.234550, 337.091461, -82.920776, 2.320415, 0.463305, 0.130088, -0.197115, 0.068179, -0.001190, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 3, 827.242188, -48.231228, 330.631561, -70.013718, 2.424193, 0.367465, 0.058771, 0.033307, 0.067933, -0.000057, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 4, 827.193481, -56.195717, 330.808624, -61.734425, 2.447002, 0.286778, 0.005814, -0.060547, 0.066918, -0.000879, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 5, 824.929504, -53.241478, 332.682678, -57.629013, 2.434305, 0.261646, 0.126081, -0.090444, 0.068071, -0.000197, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 6, 824.959167, -62.825409, 333.561005, -49.793083, 2.446781, 0.176901, 0.221055, -0.004126, 0.066571, -0.000584, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 7, 824.055908, -61.669991, 335.273010, -50.344555, 2.430679, 0.181051, 0.244874, 0.097775, 0.068418, -0.000957, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 8, 822.727295, -66.035019, 334.791901, -44.279137, 2.440820, 0.125578, 0.235114, 0.165348, 0.067724, -0.000477, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 9, 822.407410, -65.799271, 338.487885, -44.111298, 2.413987, 0.120196, 0.223703, 0.194456, 0.065793, -0.000645, 0.044669, 0.069456
B0005, 41, 2008-04-18, 20:55:29.86, 24.00, 10, 821.634644, -65.822723, 337.377594, -43.389069, 2.420415, 0.116181, 0.221354, 0.193694, 0.066825, -0.000803, 0.044669, 0.069456
