Battery, Cycle_No, Date, Time, Temp, Reading_number, Sense_current_real, Sense_current_i, Battery_current_real, Battery_current_i, Current_ratio_real, Current_ratio_i, Battery_impedance_real, Battery_impedance_i, Rectified_Impedance_real, Rectified_Impedance_i, Re, Rct
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 1, 641.773438, -13.882658, 516.898682, -104.692688, 1.197884, 0.215762, 0.003341, -0.335996, 0.079947, -0.000866, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 2, 810.741882, -38.868813, 345.441467, -80.029739, 2.252161, 0.409248, 0.161525, -0.013593, 0.079028, -0.001102, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 3, 813.673584, -42.631104, 344.147247, -76.898979, 2.278247, 0.385195, 0.012637, 0.023408, 0.079101, -0.001381, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 4, 806.329407, -50.922623, 353.186646, -67.705040, 2.228749, 0.283065, 0.029170, -0.070296, 0.079050, -0.000715, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 5, 805.018127, -50.301525, 354.966156, -61.880409, 2.224960, 0.246164, 0.131265, -0.074949, 0.078426, -0.000405, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 6, 804.277283, -53.936035, 355.302948, -58.215683, 2.228679, 0.213362, 0.202900, -0.010568, 0.079578, -0.000520, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 7, 803.315063, -60.018936, 356.028595, -52.003231, 2.233298, 0.157627, 0.228579, 0.060047, 0.079319, -0.000818, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 8, 802.292847, -62.371662, 358.418579, -49.106140, 2.220583, 0.130218, 0.230291, 0.107996, 0.077040, 0.000267, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 9, 803.093262, -64.600441, 357.201660, -47.507843, 2.232847, 0.116117, 0.226112, 0.129436, 0.077367, 0.000218, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 10, 801.601318, -66.012970, 358.379700, -45.601025, 2.224165, 0.098809, 0.223064, 0.129206, 0.078015, -0.001119, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 11, 798.940979, -58.774384, 361.408752, -36.260117, 2.204753, 0.058577, 0.221123, 0.113621, 0.078405, -0.000709, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 12, 798.235962, -61.140060, 362.469299, -35.536690, 2.197630, 0.046780, 0.217798, 0.088721, 0.077033, -0.000687, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 13, 799.909058, -57.217758, 361.524567, -38.741989, 2.204247, 0.077945, 0.210970, 0.059937, 0.077544, -0.001292, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 14, 798.826538, -58.345604, 361.831665, -37.325165, 2.200943, 0.065790, 0.200051, 0.031737, 0.077453, -0.000634, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 15, 797.465515, -59.154861, 363.487030, -35.545120, 2.188914, 0.051309, 0.185967, 0.007218, 0.076237, -0.000538, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 16, 799.081360, -40.705719, 364.191650, -29.167976, 2.189034, 0.063549, 0.170514, -0.012062, 0.076059, -0.001016, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 17, 797.734009, -41.653290, 365.170380, -26.331408, 2.181436, 0.043232, 0.155631, -0.025872, 0.076758, -0.001562, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 18, 796.580078, -41.090065, 367.170410, -25.419289, 2.166873, 0.038103, 0.142890, -0.034848, 0.075571, -0.001106, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 19, 795.650757, -41.430420, 366.580688, -26.884958, 2.167098, 0.045916, 0.133295, -0.039981, 0.074691, -0.000937, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 20, 795.079285, -40.482445, 367.303070, -28.151894, 2.160397, 0.055368, 0.127314, -0.042213, 0.073168, -0.001607, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 21, 795.614685, -41.896507, 368.718140, -25.793692, 2.155188, 0.037139, 0.125001, -0.042212, 0.072497, -0.001825, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 22, 794.088928, -3.227066, 370.411743, -8.886198, 2.142776, 0.042693, 0.126116, -0.040296, 0.072857, -0.001798, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 23, 793.310913, -1.253540, 373.326691, -10.016510, 2.123539, 0.053618, 0.130202, -0.036497, 0.070588, -0.002675, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 24, 791.347717, -2.164600, 373.289917, -10.158792, 2.118517, 0.051855, 0.136617, -0.030681, 0.068708, -0.001451, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 25, 791.621704, -1.675232, 372.947144, -9.358806, 2.121388, 0.048743, 0.144569, -0.022725, 0.069744, -0.001669, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 26, 789.366089, 0.878250, 376.307556, -12.087715, 2.095425, 0.069643, 0.153169, -0.012678, 0.068318, -0.001912, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 27, 786.336975, -3.164320, 378.859283, -6.915477, 2.074999, 0.029524, 0.161539, -0.000889, 0.067676, -0.001447, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 28, 788.165527, -12.867344, 377.778442, -12.256267, 2.085227, 0.033590, 0.168945, 0.011948, 0.066915, -0.001784, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 29, 786.472595, -12.741316, 378.042786, -11.930363, 2.079373, 0.031918, 0.174908, 0.024838, 0.065567, -0.001574, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 30, 785.137878, -14.369652, 378.178467, -10.656054, 2.075527, 0.020486, 0.179270, 0.036600, 0.064395, -0.001751, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 31, 785.497253, -16.246252, 378.722900, -9.293671, 2.073872, 0.007994, 0.182157, 0.046028, 0.063512, -0.001754, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 32, 786.227966, -19.420561, 379.226898, -6.081176, 2.073527, -0.017960, 0.183871, 0.052049, 0.062336, -0.001593, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 33, 785.285339, -35.049282, 378.369263, -18.705404, 2.074955, 0.009947, 0.184718, 0.053842, 0.060980, -0.001498, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 34, 786.738220, -39.095116, 377.287476, -16.630135, 2.085764, -0.011685, 0.184850, 0.050937, 0.059892, -0.000749, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 35, 786.368469, -41.595261, 377.108765, -12.900958, 2.086588, -0.038918, 0.184166, 0.043272, 0.059615, -0.000659, 0.061234, 0.078542
B0006, 41, 2008-04-18, 20:55:29.86, 24.00, 36, 785.901917, -46.551453, 378.195465, -7.787939, 2.079684, -0.080263, 0.182329, 0.031238, 0.059729, 0.000035, 0.061234, 0.078542
